customer_id,name,Address,email, Phone number ,Employment status,Loan Term,Verification by Loan Company,Loan Status,Loan Purpose,Application Type,Total Years of Employment,Annual Income,Income-Debt Ratio,No of Open Credit Lines,Credit Utilization Rate,No of Mortgage Account,Employment status,credit_score,Requested,Disbursed,Loan duration,Repayment method,Interest rate(%),Due date,Loan status,Loan status 2,Late fee,Refunded,Default,Category,First repayment,Second repayment,Loan received,loan reviewed,loan disbursed
CST_153773,Zaharia,7 West Schoolhouse Ave.,Zaharia@gmail.com,8023256591,Unemployed,36 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,2,95000,12.04,5,64.4,4,Unemployed,781,13615.21,10892.168,8,Auto Debit,7,12/7/2023,Completed,Approved,,226.92,0,Personal,113.46,113.46,7/5/2023,21/05/2023,18/06/2023
CST_142986,Sam,"Tucson, AZ 85718",Sam@gmail.com,8045802657,Employed,36 months,Verified,Fully Paid,credit_card,INDIVIDUAL,8,130000,12.19,30,18.7,4,Employed,889,39126.06,31300.848,2,Auto Debit,5,1/8/2023,Active,Approved,,2614.93,0,Personal,1307.46,1307.46,16/03/2023,30/03/2023,27/04/2023
CST_147654,Baker,28 E. Del Monte Ave.,Baker@gmail.com,8076444697,Unemployed,36 months,Not Verified,Fully Paid,debt_consolidation,JOINT,7,55000,28.21,13,54.9,4,Unemployed,643,17110.01,10266.006,7,Auto Debit,8,4/8/2023,Defaulted,Declined,,244.43,1,Business,122.21,122.21,24/04/2023,8/5/2023,5/6/2023
CST_165186,Vaughan,"San Carlos, CA 94070",Vaughan@gmail.com,8022444494,Employed,60 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4.467855958,157000,29.39,17,94.9,2,Employed,909,38854.6,31083.68,2,Auto Debit,8,27/06/2023,Active,Approved,,2606.88,0,Personal,1303.44,1303.44,11/5/2023,25/05/2023,22/06/2023
CST_114892,Katharina Bart,203 Windfall Dr.,Katharina Bart@gmail.com,8029011673,Employed,36 months,Verified,Fully Paid,small_business,INDIVIDUAL,9,65000,9.18,9,7.2,6,Employed,874,122481.96,97985.568,8,Auto Debit,7,3/7/2023,Completed,Approved,,2041.37,0,Personal,1020.68,1020.68,30/03/2023,13/04/2023,11/5/2023
CST_106781,Lesley Wroughton,"West Hempstead, NY 11552",Lesley Wroughton@gmail.com,8039596315,Unemployed,36 months,Not Verified,Fully Paid,major_purchase,INDIVIDUAL,8,45000,12.81,5,11.7,4,Unemployed,666,188438.82,113063.292,9,Auto Debit,8,15/07/2023,Completed,Approved,,2093.76,0,Business,1046.88,1046.88,9/3/2023,23/03/2023,20/04/2023
CST_119686,Alister Bull,7146 Kent Street,Alister Bull@gmail.com,8016914080,Employed,60 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4.467855958,72000,18.08,16,78.4,1,Employed,763,29476.68,23581.344,9,Auto Debit,8,11/7/2023,Active,Approved,,436.69,0,Personal,218.35,218.35,23/02/2023,9/3/2023,6/4/2023
CST_107195,Joan Biskupic,"Wyandotte, MI 48192",Joan Biskupic@gmail.com,8085390272,Employed,60 months,Not Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4.467855958,81000,12.87,6,54.9,5,Employed,582,24027.62,14416.572,8,Auto Debit,6,26/07/2023,Defaulted,Declined,,300.35,1,Personal,150.17,150.17,14/03/2023,28/03/2023,25/04/2023
CST_162929,Smith,30 Grandrose Dr.,Smith@gmail.com,8052987801,Employed,36 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4.467855958,130580,25.4,16,11.9,3,Employed,699,31554.66,18932.796,9,Cash,4,15/07/2023,Defaulted,Declined,,333.08,1,Business,175.3,157.77,15/03/2023,29/03/2023,26/04/2023
CST_119824,Natalie Thomas,"Boynton Beach, FL 33435",Natalie Thomas@gmail.com,8097094733,Employed,36 months,Not Verified,Fully Paid,debt_consolidation,INDIVIDUAL,7,85000,18.8,15,55.7,1,Employed,753,14726.33,11781.064,3,Auto Debit,6,24/07/2023,Active,Approved,,654.64,0,Business,327.32,327.32,14/05/2023,28/05/2023,25/06/2023
CST_144202,Huw,46 Tower Rd.,Huw@gmail.com,8061274433,Employed,36 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4.467855958,65000,10.81,12,22.9,0,Employed,710,42005.38,33604.304,6,Cash,6,3/7/2023,Active,Approved,,886.78,0,Business,466.73,420.05,13/02/2023,27/02/2023,27/03/2023
CST_151332,James,"Manchester Township, NJ 08759",James@gmail.com,8028672422,Unemployed,36 months,Not Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4.467855958,54800,7.47,10,37.2,6,Unemployed,651,60924.47,36554.682,10,Auto Debit,3,8/7/2023,Active,Approved,,609.24,0,Personal,304.62,304.62,13/03/2023,27/03/2023,24/04/2023
CST_105226,Tim Reid,47 Market Street,Tim Reid@gmail.com,8089587004,Employed,36 months,Not Verified,Fully Paid,other,INDIVIDUAL,5,24000,4.8,6,0,1,Employed,893,47053.67,37642.936,7,Auto Debit,8,16/07/2023,Active,Approved,,896.26,0,Personal,448.13,448.13,26/02/2023,12/3/2023,9/4/2023
CST_109578,Poornima Gupta,"Salisbury, MD 21801",Poornima Gupta@gmail.com,8060162526,Employed,36 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4.467855958,55000,9.23,9,43.9,5,Employed,519,48384.25,29030.55,8,Auto Debit,6,23/07/2023,Defaulted,Declined,,604.8,1,Personal,302.4,302.4,22/02/2023,8/3/2023,5/4/2023
CST_119972,Jonathan Kaminsky,8694 Bay Rd.,Jonathan Kaminsky@gmail.com,8053644701,Employed,36 months,Verified,Fully Paid,vacation,INDIVIDUAL,5,75000,13.58,9,19.1,0,Employed,895,34545.88,27636.704,9,Auto Debit,4,21/07/2023,Active,Approved,,511.79,0,Business,255.9,255.9,9/5/2023,23/05/2023,20/06/2023
CST_138824,Jessica,"Camden, NJ 08105",Jessica@gmail.com,8063632425,Employed,36 months,Not Verified,Charged Off,medical,INDIVIDUAL,2,46680,6.56,9,40.1,1,Employed,801,26919.68,21535.744,1,Auto Debit,7,15/06/2023,Completed,Approved,,3840.54,0,Personal,1920.27,1920.27,15/05/2023,29/05/2023,26/06/2023
CST_144927,Michelle,940 Bayport Ave.,Michelle@gmail.com,8068045950,Employed,36 months,Verified,Charged Off,debt_consolidation,INDIVIDUAL,6,35000,23.08,6,74.8,0,Employed,880,27462.45,21969.96,8,Cash,3,25/07/2023,Completed,Approved,,434.82,0,Business,228.85,205.97,12/5/2023,26/05/2023,23/06/2023
CST_143579,Douwe,"Oshkosh, WI 54901",Douwe@gmail.com,8019371463,Employed,36 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,3,80000,25.47,18,24.6,0,Employed,943,20249.08,16199.264,7,Cash,7,12/6/2023,Completed,Approved,,366.41,0,Business,192.85,173.56,18/03/2023,1/4/2023,29/04/2023
CST_115589,Nishant Kumar,174 Arch Ave.,Nishant Kumar@gmail.com,8010278554,Employed,36 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4.467855958,79000,17.27,13,56.7,2,Employed,795,25435.02,20348.016,9,Auto Debit,5,18/06/2023,Active,Approved,,376.82,0,Business,188.41,188.41,24/03/2023,7/4/2023,5/5/2023
CST_149142,"ODonnell""","Merrillville, IN 46410","ODonnell""@gmail.com",8011938823,Unemployed,36 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4.467855958,87000,15.32,15,56.1,6,Unemployed,886,22155.88,17724.704,7,Auto Debit,4,1/8/2023,Active,Approved,,422.02,0,Personal,211.01,211.01,28/02/2023,14/03/2023,11/4/2023
CST_159518,Temple-West,7305 Maiden Drive,Temple-West@gmail.com,8099836504,Employed,36 months,Verified,Fully Paid,other,INDIVIDUAL,4.467855958,71000,29.54,9,72.4,4,Employed,832,16962.2,13569.76,7,Cash,5,15/07/2023,Completed,Approved,,306.94,0,Personal,161.54,145.39,22/04/2023,6/5/2023,3/6/2023
CST_132881,John,"Dalton, GA 30721",John@gmail.com,8073149574,Unemployed,36 months,Not Verified,Fully Paid,credit_card,INDIVIDUAL,5,29400,29.63,12,65.7,0,Unemployed,823,17474.98,13979.984,10,Auto Debit,6,2/8/2023,Active,Approved,,233,0,Business,116.5,116.5,5/5/2023,19/05/2023,16/06/2023
CST_119708,Anna Driver,28 W. Hickory Drive,Anna Driver@gmail.com,8080824781,Unemployed,36 months,Verified,Fully Paid,credit_card,INDIVIDUAL,1,64000,3.81,6,13.4,1,Unemployed,766,74423.73,59538.984,7,Cash,3,20/06/2023,Completed,Approved,,1346.72,0,Business,708.8,637.92,25/03/2023,8/4/2023,6/5/2023
CST_106117,Alastair Sharp,"Barberton, OH 44203",Alastair Sharp@gmail.com,8081548724,Unemployed,36 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,3,95000,11.82,11,54.1,0,Unemployed,904,17749.23,14199.384,9,Auto Debit,6,3/7/2023,Active,Approved,,262.95,0,Business,131.48,131.48,5/5/2023,19/05/2023,16/06/2023
CST_143621,Diane,247 Stonybrook St.,Diane@gmail.com,8084567552,Employed,36 months,Not Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4.467855958,43000,28.8,10,71.3,0,Employed,919,70967.55,56774.04,7,Cash,4,21/06/2023,Completed,Approved,,1284.17,0,Business,675.88,608.29,18/03/2023,1/4/2023,29/04/2023
CST_124692,Langi Chiang,"Jenison, MI 49428",Langi Chiang@gmail.com,8059771072,Employed,36 months,Verified,Fully Paid,credit_card,INDIVIDUAL,4.467855958,34000,26.12,9,88.7,5,Employed,922,27020.25,21616.2,10,Auto Debit,5,18/07/2023,Completed,Approved,,360.27,0,Business,180.14,180.14,13/05/2023,27/05/2023,24/06/2023
CST_103397,Martinne Geller,84 Cypress Ave.,Martinne Geller@gmail.com,8061963455,Employed,36 months,Verified,Charged Off,debt_consolidation,INDIVIDUAL,4.467855958,22500,18.76,7,54.6,0,Employed,673,13851.29,8310.774,8,Cash,7,24/07/2023,Active,Approved,,164.48,0,Business,86.57,77.91,20/04/2023,4/5/2023,1/6/2023
CST_157798,Lange,"North Bergen, NJ 07047",Lange@gmail.com,8024436497,Unemployed,36 months,Not Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4.467855958,90000,21.44,10,52.3,2,Unemployed,738,83571.96,66857.568,7,Cash,3,14/06/2023,Active,Approved,,1512.25,0,Business,795.92,716.33,26/04/2023,10/5/2023,7/6/2023
CST_160156,Stempel,982 Sierra Street,Stempel@gmail.com,8060845053,Employed,36 months,Verified,Fully Paid,credit_card,INDIVIDUAL,7,52000,11.68,13,60.7,0,Employed,684,46066.92,27640.152,10,Auto Debit,4,4/8/2023,Completed,Approved,,460.67,0,Personal,230.33,230.33,27/02/2023,13/03/2023,10/4/2023
CST_137097,Deepa,"Depew, NY 14043",Deepa@gmail.com,8064586398,Employed,36 months,Verified,Fully Paid,credit_card,INDIVIDUAL,4,51840,25.6,11,82.8,1,Employed,851,23394.54,18715.632,3,Cash,4,6/7/2023,Completed,Approved,,987.83,0,Personal,519.91,467.92,24/05/2023,7/6/2023,5/7/2023
CST_156606,Taylor,99 Hill Field Avenue,Taylor@gmail.com,8056787447,Employed,60 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4,130000,14.03,10,53.8,10,Employed,733,27213.73,21770.984,8,Auto Debit,8,16/06/2023,Active,Approved,,453.56,0,Personal,226.78,226.78,17/03/2023,31/03/2023,28/04/2023
CST_116941,Edmund Blair,"Manitowoc, WI 54220",Edmund Blair@gmail.com,8037749097,Employed,60 months,Verified,Charged Off,debt_consolidation,INDIVIDUAL,4.467855958,52000,20.7,10,87.6,1,Employed,695,43699.79,26219.874,8,Auto Debit,4,4/8/2023,Active,Approved,,546.25,0,Business,273.12,273.12,10/4/2023,24/04/2023,22/05/2023
CST_165874,Cremer,606 N. Hilldale Drive,Cremer@gmail.com,8037723192,Unemployed,60 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,2,80000,15.67,15,13,1,Unemployed,902,25796.37,20637.096,8,Auto Debit,6,2/7/2023,Completed,Approved,,429.94,0,Business,214.97,214.97,17/03/2023,31/03/2023,28/04/2023
CST_141209,Harry,"Oklahoma City, OK 73112",Harry@gmail.com,8090659314,Employed,36 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4.467855958,120000,29.56,11,71.3,6,Employed,724,86882.47,69505.976,9,Auto Debit,4,28/07/2023,Active,Approved,,1287.15,0,Personal,643.57,643.57,16/04/2023,30/04/2023,28/05/2023
CST_116401,Deepti Govind,263 South Aspen Ave.,Deepti Govind@gmail.com,8088153286,Employed,60 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4.467855958,30000,13.73,6,51.3,1,Employed,931,26257.53,21006.024,9,Cash,3,19/07/2023,Completed,Approved,,369.55,0,Business,194.5,175.05,17/04/2023,1/5/2023,29/05/2023
CST_105775,Diane Bartz,"Glendale, AZ 85302",Diane Bartz@gmail.com,8063586307,Unemployed,36 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4.467855958,21000,10.86,15,14.7,0,Unemployed,811,28296.94,22637.552,2,Auto Debit,6,18/07/2023,Active,Approved,,1893.25,0,Business,946.63,946.63,19/02/2023,5/3/2023,2/4/2023
CST_141275,Himank,412 Fairfield Street,Himank@gmail.com,8060341273,Employed,36 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4.467855958,78000,23.31,15,75.2,2,Employed,848,43999.15,35199.32,9,Cash,5,22/07/2023,Active,Approved,,619.25,0,Business,325.92,293.33,2/4/2023,16/04/2023,14/05/2023
CST_159503,Skariachan,"Sulphur, LA 70663",Skariachan@gmail.com,8027823954,Employed,36 months,Verified,Fully Paid,debt_consolidation,INDIVIDUAL,4.467855958,64000,21.91,18,51.3,3,Employed,737,78388.44,62710.752,9,Cash,5,29/06/2023,Completed,Approved,,1103.24,0,Personal,580.66,522.59,25/05/2023,8/6/2023,6/7/2023
CST_165701,da,297 George St.,da@gmail.com,8034841848,Unemployed,60 months,Verified,Charged Off,debt_consolidation,INDIVIDUAL,3,40000,37.26,16,55.6,0,Unemployed,717,39851.78,31881.424,6,Cash,4,29/06/2023,Completed,Approved,,841.32,0,Business,442.8,398.52,10/3/2023,24/03/2023,21/04/2023
